Cuadro 15

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	"Del acueducto
 dentro de 
la vivienda "	"Del acueducto 
en el patio 
de la vivienda "	"De una 
llave pública "	"De una
 llave de otra
 vivienda"	"Manantial,
 río, arroyo "	Pozo tubular	Pozo cavado	Lluvia 	"Camión 
tanque "	Botellones 	"Camioncito 
procesada "	Otro
Municipio Consuelo	13,797	11,753	326	799	33	38	848	0
Municipio Quisqueya	7,640	6,677	242	135	33	13	540	0
Municipio Guayacanes	6,893	5,961	73	292	38	7	522	0
Municipio Monte Plata	19,349	16,512	273	1,432	18	6	1,108	0
Municipio Bayaguana	13,005	10,980	382	939	11	16	677	0
Municipio Sabana Grande de Boyá	12,146	9,718	629	905	7	18	869	0
Municipio Yamasá	21,557	18,673	273	1,364	20	15	1,212	0
Municipio Peralvillo	6,402	5,551	46	273	4	12	516	0
Municipio Hato Mayor 	25,241	21,664	504	1,456	27	28	1,562	0
Municipio Sabana de la mar	7,119	6,253	262	163	5	6	430	0
Municipio El valle	3,856	3,138	173	174	0	14	357	0


Cuadro 17

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	Energia elétrica del tendido público 	Lámpara de gas propano	Lámpara de gas kerosene	Energía eléctrica de planta propia 	Paneles solares 	Otros 	Sin información
Municipio Santo Domingo de Guzmán	365,548	363,351	70	12	116	388	1,551	60
Municipio Santo Domingo Este	351,360	349,901	87	57	60	88	993	174
Municipio Santo Domingo Oeste	143,144	142,528	26	12	116	70	369	23
Municipio Santo Domingo Norte	224,697	224,004	56	36	42	44	506	9
Municipio Boca Chica	56,593	56,156	49	34	29	7	315	3
Municipio San Antonio de Guerra	20,885	20,570	19	40	8	8	239	1
Municipio Los alcarrizos	111,928	111,209	30	25	18	18	608	20
Municipio Pedro Brand	31,206	30,998	14	13	15	15	151	0
Municipio Moca	54,913	54,516	52	26	8	51	258	2
Municipio Cayetano Germosén	2,996	2,954	2	0	0	14	26	0
Municipio Gaspar Hernández 	15,090	14,922	35	19	0	19	92	3
Municipio Jamao al Norte	2,883	2,822	7	4	0	28	22	0
Municipio San Víctor	6,588	6,505	10	4	0	38	31	0
Municipio Puerto Plata	59,241	58,621	84	43	11	96	344	42
Municipio Altamira	7,149	6,943	66	45	2	17	76	0
Municipio Guananico	2,447	2,413	2	4	0	2	26	0
Municipio Imbert	8,905	8,778	29	17	0	16	63	2
Municipio Los Hidalgos	4,814	4,695	27	15	0	11	66	0
Municipio Luperón	6,575	6,348	36	10	2	43	134	2
Municipio Sosúa	21,065	20,833	18	40	6	80	86	2
Municipio Villa Isabela 	7,153	6,973	46	27	4	7	96	0
Municipio Villa Montellano 	7,698	7,632	14	1	0	12	39	0
Municipio de Santiago	272,180	270,727	155	127	23	249	853	46
Municipio Bisonó	17,181	17,030	43	14	2	9	83	0
Municipio Jánico	5,252	5,174	4	1	2	25	46	0
Municipio Licey al Medio	9,956	9,906	3	3	3	13	28	0
Municipio San José de las Matas	13,028	12,710	52	22	2	96	146	0
Municipio Tamboril	19,888	19,759	19	12	4	21	72	1
Municipio Villa González	14,456	14,275	32	25	0	22	102	0
Municipio Puñal	15,621	15,548	8	6	0	21	36	2
Municipio Sabana Iglesia	5,222	5,173	16	11	0	1	21	0
Municipio Baitoa	3,919	3,886	6	1	0	0	26	0
Municipio La Vega	96,210	95,465	89	38	26	77	502	13
Municipio Constanza	23,946	23,474	36	17	6	118	295	0
Municipio Jarabacoa	23,382	22,620	40	26	31	62	602	1
Municipio Jima Abajo	10,043	9,915	22	9	1	8	88	0
Municipio Cotuí	29,915	29,620	62	46	8	58	121	0
Municipio Cevicos	5,837	5,755	31	14	1	8	28	0
Municipio Fantino	8,349	8,293	16	6	0	1	33	0
Municipio Villa La Mata	13,398	13,207	29	16	2	5	139	0
Municipio Bonao	50,536	50,042	72	30	12	60	315	5
Municipio Maimón	8,274	8,236	1	0	2	0	35	0
Municipio Piedra Blanca	9,340	9,234	22	8	1	29	46	0
Municipio San Francisco de Macorís	73,225	72,312	102	55	64	154	509	29
Municipio Arenoso 	5,225	5,159	20	6	0	2	38	0
Municipio Castillo	5,995	5,922	26	15	0	5	27	0
Municipio Pimentel 	6,303	6,225	6	5	3	9	55	0
Municipio Villa Riva	12,685	12,476	31	9	9	19	141	0
Municipio Las Guáranas	5,101	5,027	15	1	0	15	43	0
Municipio Eugenio María de Hostos	2,139	2,085	13	7	0	7	27	0
Municipio Nagua 	29,198	28,888	70	41	2	26	169	2
Municipio Cabrera	10,890	10,767	20	10	6	26	51	10
Municipio El Factor 	10,928	10,697	38	10	0	6	177	0
Municipio Río San Juan	6,405	6,231	20	24	1	40	89	0
Municipio Salcedo	14,698	14,471	22	26	7	80	87	5
Municipio Tenares	10,449	10,356	22	15	0	10	46	0
Municipio Villa Tapia	8,983	8,933	12	1	0	3	34	0
Municipio Samaná	22,840	22,274	156	34	9	96	271	0
Municipio Sánchez	9,374	9,258	15	17	3	30	51	0
Municipio Las Terrenas	9,722	9,494	34	10	1	14	169	0
Municipio Dajabón	12,092	11,847	52	11	3	36	143	0
Municipio Loma de Cabrera	5,658	5,295	43	49	2	40	229	0
Municipio Partido 	2,859	2,708	19	18	2	34	78	0
Municipio Restauración 	2,646	1,935	64	34	2	186	425	0
Municipio El Pino	2,247	2,171	17	6	0	2	51	0
Municipio Monte Cristi	10,115	9,328	53	73	2	73	586	0
Municipio Castañuelas	7,234	6,677	76	32	0	22	427	0
Municipio Guayubín	14,598	14,035	143	67	2	30	321	0
Municipio Las Matas de Santa Cruz	4,123	3,965	29	18	0	7	102	2
Municipio Pepillo Salcedo 	3,944	3,704	41	14	2	11	172	0
Municipio Villa Vásquez	6,142	5,930	28	35	2	11	136	0
Municipio San Ignacio de Sabaneta	13,948	13,421	40	29	17	232	208	1
Municipio Villa Los Almácigos 	4,062	3,867	15	8	3	23	146	0
Municipio Monción	4,884	4,797	29	1	0	16	41	0
Municipio Mao	31,178	30,224	174	58	2	67	653	0
Municipio Esperanza	24,105	23,536	47	42	8	125	347	0
Municipio Laguna Salada 	10,318	10,039	87	12	1	41	138	0
Municipio Baní	53,021	52,496	121	68	18	77	235	6
Municipio Nizao	10,335	10,261	25	3	2	1	43	0
Municipio Matanzas	6,741	6,674	11	5	3	17	29	2
Municipio San Cristóbal 	88,583	88,073	48	26	7	24	401	4
Municipio Sabana Grande de Palenque 	5,680	5,624	17	3	3	1	32	0
Municipio Bajos de Haina	53,277	52,912	38	26	7	13	281	0
Municipio Cambita Garavitos	10,423	10,322	30	23	1	6	41	0
Municipio Villa Altagracia	32,108	31,854	49	18	4	16	167	0
Municipio Yaguate	16,375	16,229	36	17	3	0	90	0
Municipio San Gregorio de Nigua	12,565	12,473	18	10	3	2	59	0
Municipio Los Cacaos	3,992	3,806	104	61	2	4	15	0
Municipio San José de Ocoa	16,200	15,432	137	238	9	154	230	0
Municipio Sabana Larga	4,379	3,901	28	130	9	88	223	0
Municipio Rancho Arriba	5,451	4,553	142	151	75	345	185	0
Municipio de Neiba	12,152	11,735	186	47	3	24	157	0
Municipio Galván	5,359	5,220	39	10	4	0	85	1
Municipio Tamayo	9,962	9,783	11	18	13	52	85	0
Municipio Villa Jaragua	3,693	3,265	45	31	2	79	271	0
Municipio Los Ríos	2,709	2,336	7	2	1	38	324	1
Municipio Barahona	27,560	27,289	43	42	5	40	139	2
Municipio Cabral	4,871	4,798	33	9	0	0	31	0
Municipio Enriquillo	4,468	3,980	136	101	13	52	186	0
Municipio Paraíso 	5,114	4,245	97	389	6	78	299	0
Municipio Vicente Noble 	8,230	8,155	6	3	0	0	66	0
Municipio El Peñón	1,370	1,360	4	1	0	0	5	0
Municipio La Ciénaga	2,741	2,629	28	27	3	23	30	1
Municipio Fundación	2,924	2,902	4	1	0	4	13	0
Municipio Las Salinas	1,552	1,548	0	0	0	0	4	0
Municipio Polo	2,468	2,173	52	172	1	17	53	0
Municipio Jaquimeyes	1,313	1,302	3	4	0	2	2	0
Municipio Jimaní	5,852	5,419	70	92	18	25	227	1
Municipio Duvergé	4,445	4,278	24	4	0	3	135	1
Municipio La Descubierta 	2,376	2,170	5	9	2	53	137	0
Municipio Postrer Río	2,173	1,704	9	70	0	44	345	1
Municipio Cristóbal	2,412	2,397	3	5	1	0	6	0
Municipio Mella	1,485	1,450	6	6	0	0	23	0
Municipio Pedernales	7,342	6,253	138	95	8	153	694	1
Municipio Oviedo	3,148	2,900	40	15	3	29	161	0
Municipio Azua	32,360	32,096	78	42	19	15	109	1
Municipio Las Charcas	4,913	4,810	36	8	0	14	45	0
Municipio Las Yayas de Viajama	6,705	6,499	22	20	9	77	78	0
Municipio Padre Las Casas	7,022	6,371	69	88	1	222	270	1
Municipio Peralta	4,386	4,205	107	39	0	15	20	0
Municipio Sabana Yegua	6,616	6,341	33	23	2	54	154	9
Municipio Pueblo Viejo 	3,844	3,807	15	5	0	1	16	0
Municipio Tábara Arriba	6,710	6,614	35	20	0	4	37	0
Municipio Guayabal	1,949	1,763	6	11	0	55	114	0
Municipio Estebanía	2,790	2,593	41	17	4	61	74	0
Municipio Comendador	8,275	7,509	196	94	0	42	434	0
Municipio Bánica	2,316	1,990	51	101	0	53	121	0
Municipio El Llano	2,629	2,246	50	114	1	3	213	2
Municipio Hondo Valle	2,926	2,621	16	9	0	6	274	0
Municipio Pedro Santana	1,960	1,326	19	70	2	58	485	0
Municipio Juan Santiago	1,102	1,001	34	24	1	1	41	0
Municipio San Juan	48,501	46,748	487	243	173	99	751	0
Municipio Bohechío	3,476	3,361	19	21	1	5	69	0
Municipio El Cercado	5,783	5,575	54	23	1	0	130	0
Municipio Juan de Herrera	4,381	4,224	43	28	0	2	84	0
Municipio Las Matas de Farfán	16,421	15,734	179	94	4	132	273	5
Municipio Vallejuelo	4,254	4,065	79	11	0	2	96	1
Municipio El Seibo	25,696	22,606	990	814	83	414	768	21
Municipio Miches	9,572	9,323	51	16	12	27	143	0
Municipio Higüey	160,056	152,152	919	795	382	637	5,166	5
Municipio San Rafael del Yuma	12,363	10,028	767	828	150	174	416	0
Municipio La Romana	53,573	52,898	113	24	66	162	307	3
Municipio Guaymate	5,432	3,785	211	783	264	162	227	0
Municipio Villa Hermosa	37,378	36,989	78	58	13	19	221	0
Municipio San Pedro de Macorís	75,448	75,050	36	22	11	12	315	2
Municipio Los Llanos 	9,124	8,943	38	35	7	4	95	2
Municipio Ramón Santana	3,997	3,793	33	16	11	66	78	0
Municipio Consuelo	13,797	13,722	13	12	1	2	47	0
Municipio Quisqueya	7,640	7,561	5	10	1	1	62	0
Municipio Guayacanes	6,893	6,810	2	1	35	5	40	0
Municipio Monte Plata	19,349	19,083	36	30	15	27	158	0
Municipio Bayaguana	13,005	12,377	148	193	10	141	136	0
Municipio Sabana Grande de Boyá	12,146	11,647	77	60	19	81	262	0
Municipio Yamasá	21,557	21,309	61	70	13	18	86	0
Municipio Peralvillo	6,402	6,307	23	15	2	4	51	0
Municipio Hato Mayor 	25,241	24,701	153	97	18	61	210	1
Municipio Sabana de la mar	7,119	6,943	18	21	1	11	125	0
Municipio El valle	3,856	3,590	20	22	9	17	198	0


Cuadro 18

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	La recoge el ayuntamiento 	La recoge una empresa privada 	La queman 	"La tiran en el 
patio o sola"	La tiran en un vertedero 	La tiran en un río o cañada	Otros 
Municipio Santo Domingo de Guzmán	365,548	343,735	6,855	410	851	8,858	3,284	1,555
Municipio Santo Domingo Este	351,360	314,654	5,831	3,433	2,776	17,045	2,916	4,705
Municipio Santo Domingo Oeste	143,144	128,543	681	2,002	1,135	6,282	3,171	1,330
Municipio Santo Domingo Norte	224,697	200,807	2,160	11,279	2,676	4,168	2,302	1,305
Municipio Boca Chica	56,593	22,781	4,656	11,331	3,437	11,276	22	3,090
Municipio San Antonio de Guerra	20,885	14,836	28	5,285	304	303	29	100
Municipio Los alcarrizos	111,928	79,086	1,332	1,892	2,290	12,479	10,967	3,882
Municipio Pedro Brand	31,206	25,353	1,187	2,758	566	573	576	193
Municipio Moca	54,913	47,952	101	2,898	1,463	924	1,212	363
Municipio Cayetano Germosén	2,996	2,438	3	292	92	20	138	13
Municipio Gaspar Hernández 	15,090	13,052	9	1,732	210	61	17	9
Municipio Jamao al Norte	2,883	2,101	1	725	37	8	1	10
Municipio San Víctor	6,588	5,355	12	799	169	51	167	35
Municipio Puerto Plata	59,241	55,486	96	3,251	170	110	61	67
Municipio Altamira	7,149	5,127	3	1,446	383	124	40	26
Municipio Guananico	2,447	2,241	1	143	49	4	9	0
Municipio Imbert	8,905	7,701	3	1,077	49	37	19	19
Municipio Los Hidalgos	4,814	4,119	5	559	63	42	9	17
Municipio Luperón	6,575	4,737	9	1,678	42	92	4	13
Municipio Sosúa	21,065	19,191	837	869	47	39	13	69
Municipio Villa Isabela 	7,153	6,221	10	830	26	27	21	18
Municipio Villa Montellano 	7,698	6,715	63	717	76	109	12	6
Municipio de Santiago	272,180	261,534	667	3,711	866	1,374	3,410	618
Municipio Bisonó	17,181	14,843	155	1,339	216	314	225	89
Municipio Jánico	5,252	3,491	6	1,537	68	101	21	28
Municipio Licey al Medio	9,956	9,520	4	193	57	34	43	105
Municipio San José de las Matas	13,028	10,772	66	1,843	82	194	13	58
Municipio Tamboril	19,888	18,618	45	757	236	90	104	38
Municipio Villa González	14,456	13,078	42	912	110	118	170	26
Municipio Puñal	15,621	15,182	83	198	65	19	58	16
Municipio Sabana Iglesia	5,222	4,343	3	571	39	135	109	22
Municipio Baitoa	3,919	2,781	10	828	124	81	82	13
Municipio La Vega	96,210	87,536	127	5,588	1,432	595	672	260
Municipio Constanza	23,946	22,838	29	591	127	259	56	46
Municipio Jarabacoa	23,382	21,570	71	1,273	212	136	39	81
Municipio Jima Abajo	10,043	8,633	4	1,078	131	41	120	36
Municipio Cotuí	29,915	22,549	248	4,728	960	505	578	347
Municipio Cevicos	5,837	4,616	16	918	244	28	3	12
Municipio Fantino	8,349	7,057	16	1,165	82	12	8	9
Municipio Villa La Mata	13,398	10,879	12	2,035	161	27	257	27
Municipio Bonao	50,536	43,921	3,238	1,849	412	506	142	468
Municipio Maimón	8,274	7,599	36	420	95	69	33	22
Municipio Piedra Blanca	9,340	8,581	16	518	110	66	25	24
Municipio San Francisco de Macorís	73,225	63,213	543	6,819	643	757	648	602
Municipio Arenoso 	5,225	3,596	2	1,319	109	40	141	18
Municipio Castillo	5,995	4,418	15	1,379	128	40	12	3
Municipio Pimentel 	6,303	4,791	21	1,315	71	22	65	18
Municipio Villa riva	12,685	9,957	7	2,090	320	61	214	36
Municipio Las Guáranas	5,101	4,063	8	724	27	45	203	31
Municipio Eugenio María de Hostos	2,139	1,351	3	658	120	1	3	3
Municipio Nagua 	29,198	22,856	84	4,998	607	355	166	132
Municipio Cabrera	10,890	8,042	44	2,612	73	75	4	40
Municipio El Factor 	10,928	9,407	12	1,177	182	90	42	18
Municipio Río San Juan	6,405	5,331	7	891	83	59	12	22
Municipio Salcedo	14,698	11,091	18	2,672	428	250	118	121
Municipio Tenares	10,449	6,648	368	2,249	528	288	250	118
Municipio Villa Tapia	8,983	5,715	7	2,790	268	101	84	18
Municipio Samaná	22,840	16,158	40	5,866	253	426	60	37
Municipio Sánchez	9,374	7,430	13	1,695	83	34	37	82
Municipio Las Terrenas	9,722	9,198	205	229	15	46	2	27
Municipio Dajabón	12,092	11,063	26	867	57	42	16	21
Municipio Loma de Cabrera	5,658	4,743	21	653	179	30	19	13
Municipio Partido 	2,859	2,534	4	270	21	18	3	9
Municipio Restauración 	2,646	1,260	4	1,202	97	46	17	20
Municipio El Pino	2,247	2,087	3	133	10	4	8	2
Municipio Monte Cristi	10,115	6,534	258	2,034	297	925	8	59
Municipio Castañuelas	7,234	6,598	8	394	21	59	138	16
Municipio Guayubín	14,598	11,957	18	2,333	128	108	19	35
Municipio Las Matas de Santa Cruz	4,123	3,901	8	180	19	5	3	7
Municipio Pepillo Salcedo 	3,944	3,444	2	432	19	34	4	9
Municipio Villa Vásquez	6,142	4,496	300	1,077	36	180	18	35
Municipio San Ignacio de Sabaneta	13,948	11,125	16	2,528	84	100	60	35
Municipio Villa Los Almácigos 	4,062	2,912	6	995	119	11	12	7
Municipio Monción	4,884	4,443	24	378	10	14	1	14
Municipio Mao	31,178	29,008	105	1,568	65	217	107	108
Municipio Esperanza	24,105	21,986	58	1,324	139	330	195	73
Municipio Laguna Salada 	10,318	9,762	8	305	52	65	109	17
Municipio Baní	53,021	47,242	372	3,444	528	615	564	256
Municipio Nizao	10,335	9,721	14	470	48	47	23	12
Municipio Matanzas	6,741	6,178	2	461	33	42	18	7
Municipio San Cristóbal 	88,583	75,051	668	8,404	994	1,257	1,718	491
Municipio Sabana Grande de Palenque 	5,680	5,432	19	175	23	16	5	10
Municipio Bajos de Haina	53,277	50,527	87	1,091	436	502	397	237
Municipio Cambita Garavitos	10,423	7,805	4	1,607	502	166	284	55
Municipio Villa Altagracia	32,108	27,469	60	2,264	900	463	678	274
Municipio Yaguate	16,375	12,897	47	2,777	301	238	91	24
Municipio San Gregorio de Nigua	12,565	9,871	9	2,247	278	58	68	34
Municipio Los Cacaos	3,992	2,332	5	1,112	382	156	2	3
Municipio San José de Ocoa	16,200	14,430	12	1,132	267	79	257	23
Municipio Sabana Larga	4,379	3,903	8	340	28	49	34	17
Municipio Rancho Arriba	5,451	4,665	62	451	129	104	22	18
Municipio de Neiba	12,152	9,841	4	872	343	514	479	99
Municipio Galván	5,359	3,064	11	1,612	303	64	283	22
Municipio Tamayo	9,962	8,632	23	663	406	81	145	12
Municipio Villa Jaragua	3,693	2,836	1	299	210	14	203	130
Municipio Los Ríos	2,709	1,951	0	344	355	9	44	6
Municipio Barahona	27,560	24,192	52	2,344	242	374	186	170
Municipio Cabral	4,871	4,427	3	308	71	31	25	6
Municipio Enriquillo	4,468	3,305	35	732	272	45	74	5
Municipio Paraíso 	5,114	3,664	3	608	675	78	50	36
Municipio Vicente Noble 	8,230	7,173	20	547	295	110	65	20
Municipio El Peñón	1,370	1,325	0	15	2	27	0	1
Municipio La Ciénaga	2,741	2,351	4	251	62	19	47	7
Municipio Fundación	2,924	2,614	0	209	23	55	21	2
Municipio Las Salinas	1,552	1,423	0	87	7	29	6	0
Municipio Polo	2,468	1,574	3	132	384	29	329	17
Municipio Jaquimeyes	1,313	1,279	2	29	0	0	3	0
Municipio Jimaní	5,852	4,127	9	1,228	206	149	42	91
Municipio Duvergé	4,445	4,055	5	294	50	17	14	10
Municipio La Descubierta 	2,376	1,895	0	316	43	22	82	18
Municipio Postrer Río	2,173	1,533	2	167	329	23	78	41
Municipio Cristóbal	2,412	2,201	1	78	47	62	16	7
Municipio Mella	1,485	1,352	1	91	19	8	7	7
Municipio Pedernales	7,342	5,434	16	953	479	118	257	85
Municipio Oviedo	3,148	2,354	1	641	60	73	5	14
Municipio Azua	32,360	30,263	150	1,042	283	136	404	82
Municipio Las Charcas	4,913	4,210	19	303	49	117	191	24
Municipio Las Yayas de Viajama	6,705	5,662	8	798	49	95	63	30
Municipio Padre Las Casas	7,022	5,058	6	1,705	94	100	47	12
Municipio Peralta	4,386	4,076	9	155	26	2	94	24
Municipio Sabana Yegua	6,616	6,103	14	418	42	7	11	21
Municipio Pueblo Viejo 	3,844	3,566	7	203	26	6	29	7
Municipio Tábara Arriba	6,710	6,263	3	375	28	4	30	7
Municipio Guayabal	1,949	1,740	0	155	47	3	2	2
Municipio Estebanía	2,790	2,212	13	389	43	9	113	11
Municipio Comendador	8,275	5,685	24	1,930	421	65	138	12
Municipio Bánica	2,316	1,493	23	651	75	18	25	31
Municipio El Llano	2,629	1,433	7	914	244	9	18	4
Municipio Hondo Valle	2,926	2,170	2	464	257	8	20	5
Municipio Pedro Santana	1,960	770	0	873	237	56	1	23
Municipio Juan Santiago	1,102	867	18	169	29	12	6	1
Municipio San Juan	48,501	40,890	57	6,313	439	207	427	168
Municipio Bohechío	3,476	3,133	2	247	47	19	24	4
Municipio El Cercado	5,783	4,653	13	841	193	16	20	47
Municipio Juan de Herrera	4,381	3,921	6	390	17	6	36	5
Municipio Las Matas de Farfán	16,421	12,216	9	3,892	90	41	134	39
Municipio Vallejuelo	4,254	3,773	17	290	53	20	89	12
Municipio El Seibo	25,696	14,487	1,701	8,270	644	258	266	70
Municipio Miches	9,572	8,681	11	547	255	40	11	27
Municipio Higüey	160,056	136,367	9,401	9,530	1,178	2,163	663	754
Municipio San Rafael del Yuma	12,363	9,007	1,938	1,291	39	51	9	28
Municipio La Romana	53,573	48,817	2,524	463	144	1,225	65	335
Municipio Guaymate	5,432	2,567	2,449	274	16	99	21	6
Municipio Villa Hermosa	37,378	30,107	321	1,883	1,035	3,650	21	361
Municipio San Pedro de Macorís	75,448	69,895	645	1,447	468	2,387	25	581
Municipio Los Llanos 	9,124	4,705	155	3,751	306	187	11	9
Municipio Ramón Santana	3,997	1,688	402	1,674	47	151	10	25
Municipio Consuelo	13,797	12,067	143	1,102	156	239	63	27
Municipio Quisqueya	7,640	6,238	48	807	155	303	57	32
Municipio Guayacanes	6,893	5,137	264	1,168	201	112	0	11
Municipio Monte Plata	19,349	13,220	43	5,110	554	265	82	75
Municipio Bayaguana	13,005	9,956	36	2,603	203	136	19	52
Municipio Sabana Grande de Boyá	12,146	8,178	25	2,780	358	430	254	121
Municipio Yamasá	21,557	14,675	103	5,188	1,152	186	192	61
Municipio Peralvillo	6,402	4,885	5	1,166	264	63	7	12
Municipio Hato Mayor 	25,241	19,398	68	5,008	261	383	59	64
Municipio Sabana de la mar	7,119	6,220	9	771	61	41	4	13
Municipio El valle	3,856	3,429	7	189	71	7	12	141
